,Exercise,URL,Picture_A,Picture_B,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
10,Alternating Diagonal Leg Bound,https://www.jefit.com/exercises/892/Alternating-Diagonal-Leg-Bound,https://www.jefit.com/images/exercises/1080_664/3568.jpg,https://www.jefit.com/images/exercises/1080_664/3569.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160305320.hd.mp4?s=23979916260f301e6a3d92c3e5b96fbd94758a41&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Body Only,Beginner
11,Alternating Floor Leg Raise,https://www.jefit.com/exercises/982/Alternating-Floor-Leg-Raise,https://www.jefit.com/images/exercises/1080_664/3928.jpg,https://www.jefit.com/images/exercises/1080_664/3929.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306866.hd.mp4?s=fb95f94712f1658338d360e91b291c984ea1bae6&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
12,Alternating Leg Bridge,https://www.jefit.com/exercises/610/Alternating-Leg-Bridge,https://www.jefit.com/images/exercises/1080_664/2440.jpg,https://www.jefit.com/images/exercises/1080_664/2441.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297251.hd.mp4?s=232563f0d8b1b0e3578f185791e82137e74b6b66&profile_id=119&oauth2_token_id=435967617,Abs,,Strength,Compound,Body Only,Intermediate
13,Alternating Reach and Catch,https://www.jefit.com/exercises/968/Alternating-Reach-and-Catch,https://www.jefit.com/images/exercises/1080_664/3872.jpg,https://www.jefit.com/images/exercises/1080_664/3873.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306855.hd.mp4?s=de8b5ad9f5f7b1c1bc0e7e7c2de7e54571c32859&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
14,Alternating Reverse Hyper on Flat Bench,https://www.jefit.com/exercises/734/Alternating-Reverse-Hyper-on-Flat-Bench,https://www.jefit.com/images/exercises/1080_664/2936.jpg,https://www.jefit.com/images/exercises/1080_664/2937.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160304993.hd.mp4?s=144b2ab30e55280a8ac75552e5bc4afc4faf313f&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Compound,Bench,Intermediate
15,Ankle Circles,https://www.jefit.com/exercises/289/Ankle-Circles,https://www.jefit.com/images/exercises/1080_664/1156.jpg,https://www.jefit.com/images/exercises/1080_664/1157.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160280932.sd.mp4?s=71e1f45acbb62b7b357c52822f14f67a17481c77&profile_id=164&oauth2_token_id=435967617,Lower Legs,,Stretching,Isolation,Body Only,Beginner
16,Ankle Dorsiflexion,https://www.jefit.com/exercises/546/Ankle-Dorsiflexion,https://www.jefit.com/images/exercises/1080_664/2184.jpg,https://www.jefit.com/images/exercises/1080_664/2185.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160297005.sd.mp4?s=eeb93504cad047304d7873e87c9c018a50a47bf5&profile_id=164&oauth2_token_id=435967617,Lower Legs,,Stretching,Compound,Body Only,Beginner
17,Arm Circles,https://www.jefit.com/exercises/867/Arm-Circles,https://www.jefit.com/images/exercises/1080_664/3468.jpg,https://www.jefit.com/images/exercises/1080_664/3469.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160305280.sd.mp4?s=f238b3e48cc42cc64eb20d30cd7fe9b9ae9aefd7&profile_id=164&oauth2_token_id=435967617,Shoulders,,Stretching,Isolation,Body Only,Beginner
18,Assisted Chest Stretch,https://www.jefit.com/exercises/835/Assisted-Chest-Stretch,https://www.jefit.com/images/exercises/1080_664/3340.jpg,https://www.jefit.com/images/exercises/1080_664/3341.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305239.sd.mp4?s=e0dfec87ef30cf5bad1e3f4bd71db89ca2be9911&profile_id=164&oauth2_token_id=435967617,Chest,,Stretching,Isolation,Body Only,Beginner
19,Assisted Hyperextension,https://www.jefit.com/exercises/354/Assisted-Hyperextension,https://www.jefit.com/images/exercises/1080_664/1416.jpg,https://www.jefit.com/images/exercises/1080_664/1417.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160281004.sd.mp4?s=9798d55d686d5c775e309297cd3f0e4311a120fb&profile_id=164&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Body Only,Intermediate
20,Back Hyperextension,https://www.jefit.com/exercises/92/Back-Hyperextension,https://www.jefit.com/images/exercises/1080_664/368.jpg,https://www.jefit.com/images/exercises/1080_664/369.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273636.hd.mp4?s=e45261f966f614324969fd7bef9141ea76251518&profile_id=113&oauth2_token_id=435967617,Back,Lower Back,Stretching,Compound,Machine - Strength,Beginner
21,Back Stretch,https://www.jefit.com/exercises/822/Back-Stretch,https://www.jefit.com/images/exercises/1080_664/3288.jpg,https://www.jefit.com/images/exercises/1080_664/3289.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305219.sd.mp4?s=7817a4785cbc33327719a9b9b673f3318fecd98e&profile_id=164&oauth2_token_id=435967617,Back,Lats,Stretching,Isolation,Body Only,Beginner
22,Back Stretch,https://www.jefit.com/exercises/847/Back-Stretch,https://www.jefit.com/images/exercises/1080_664/3388.jpg,https://www.jefit.com/images/exercises/1080_664/3389.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305259.hd.mp4?s=7c2bf7851dee547314e8e9b7d19335820f38d3b2&profile_id=119&oauth2_token_id=435967617,Chest,,Stretching,Isolation,Body Only,Beginner
23,Band Back Fly,https://www.jefit.com/exercises/53/Band-Back-Fly,https://www.jefit.com/images/exercises/1080_664/212.jpg,https://www.jefit.com/images/exercises/1080_664/213.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273570.hd.mp4?s=45082768229cb81eedc2759df724e1821c297e23&profile_id=113&oauth2_token_id=435967617,Triceps,Traps,Strength,Isolation,Bands,Beginner
24,Band Bench Press,https://www.jefit.com/exercises/370/Band-Bench-Press,https://www.jefit.com/images/exercises/1080_664/1480.jpg,https://www.jefit.com/images/exercises/1080_664/1481.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160281024.sd.mp4?s=eda3b2556103f220b4b6f73eed260ae3d8b613d3&profile_id=165&oauth2_token_id=435967617,Chest,Full,Strength,Compound,"Bands , Bench",Beginner
25,Band Calf Raise,https://www.jefit.com/exercises/287/Band-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/1148.jpg,https://www.jefit.com/images/exercises/1080_664/1149.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160280869.sd.mp4?s=144cd46d2ebb42dfb2986c0378e2fd816cc0827d&profile_id=165&oauth2_token_id=435967617,Lower Legs,Calves,Strength,Isolation,Bands,Beginner
26,Band Cross-Over,https://www.jefit.com/exercises/1/Band-Cross-Over,https://www.jefit.com/images/exercises/1080_664/4.jpg,https://www.jefit.com/images/exercises/1080_664/5.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273322.sd.mp4?s=8fb2bb5f6efe9d6c3f220bc55c38e0a863687493&profile_id=165&oauth2_token_id=435967617,Chest,Inner Chest,Strength,Compound,Bands,Beginner
27,Band Squat,https://www.jefit.com/exercises/215/Band-Squat,https://www.jefit.com/images/exercises/1080_664/860.jpg,https://www.jefit.com/images/exercises/1080_664/861.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273839.sd.mp4?s=d3e2288090b864781bd6b110cf0521512726f991&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Bands,Beginner
28,Band Upright Row,https://www.jefit.com/exercises/185/Band-Upright-Row,https://www.jefit.com/images/exercises/1080_664/740.jpg,https://www.jefit.com/images/exercises/1080_664/741.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273771.hd.mp4?s=1248cd33b534a7bdf4a0be7f96f40b863bbfb260&profile_id=113&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Bands,Beginner
29,Barbell 1/2 Squat,https://www.jefit.com/exercises/1221/Barbell-1/2-Squat,https://www.jefit.com/images/exercises/1080_664/4884.jpg,https://www.jefit.com/images/exercises/1080_664/4885.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307266.sd.mp4?s=6532bbdb6d049152840aaf3dfdd748354dd00d83&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Barbell,Beginner
30,Barbell 1/4 Squat,https://www.jefit.com/exercises/1202/Barbell-1/4-Squat,https://www.jefit.com/images/exercises/1080_664/4808.jpg,https://www.jefit.com/images/exercises/1080_664/4809.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307232.sd.mp4?s=6aac92695cdb62451a7dab3722317981af43fbb8&profile_id=165&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Barbell,Beginner
31,Barbell Ab Rollout ,https://www.jefit.com/exercises/294/Barbell-Ab-Rollout-,https://www.jefit.com/images/exercises/1080_664/1176.jpg,https://www.jefit.com/images/exercises/1080_664/1177.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160280912.sd.mp4?s=fe702174843671f0e24d4d951fd1b7921b729bdb&profile_id=165&oauth2_token_id=435967617,Abs,Full,Strength,Compound,Barbell,Intermediate
32,Barbell Ab Rollout,https://www.jefit.com/exercises/66/Barbell-Ab-Rollout,https://www.jefit.com/images/exercises/1080_664/264.jpg,https://www.jefit.com/images/exercises/1080_664/265.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273588.hd.mp4?s=a1b93dc492c1093b04355da8b90b7997ed5db2a9&profile_id=113&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Compound,Barbell,Intermediate
33,Barbell Alternating Front and Back Press,https://www.jefit.com/exercises/1154/Barbell-Alternating-Front-and-Back-Press,https://www.jefit.com/images/exercises/1080_664/4616.jpg,https://www.jefit.com/images/exercises/1080_664/4617.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307163.hd.mp4?s=be0e3d4af978b74010d5a5cf30ceeffb8d837e0a&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Barbell,Intermediate
34,Barbell Behind the Back Shrug,https://www.jefit.com/exercises/399/Barbell-Behind-the-Back-Shrug,https://www.jefit.com/images/exercises/1080_664/1596.jpg,https://www.jefit.com/images/exercises/1080_664/1597.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160281087.hd.mp4?s=c7b6820b57ca15bc9cf4c797e7603abd17a623ec&profile_id=113&oauth2_token_id=435967617,Back,Forearms,Strength,Isolation,Barbell,Beginner
35,Barbell Bench Press,https://www.jefit.com/exercises/2/Barbell-Bench-Press,https://www.jefit.com/images/exercises/1080_664/8.jpg,https://www.jefit.com/images/exercises/1080_664/9.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273318.hd.mp4?s=3e7adc31c89a4644e9bf80762e88ccefa2706e91&profile_id=119&oauth2_token_id=435967617,Chest,Full,Strength,Compound,Barbell,Beginner
36,Barbell Bench Squat ,https://www.jefit.com/exercises/468/Barbell-Bench-Squat-,https://www.jefit.com/images/exercises/1080_664/1872.jpg,https://www.jefit.com/images/exercises/1080_664/1873.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296127.sd.mp4?s=8d00bded23786451eeebe61a31beb8f72fcc5216&profile_id=164&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Barbell,Intermediate
37,Barbell Bent-Over Row,https://www.jefit.com/exercises/3/Barbell-Bent-Over-Row,https://www.jefit.com/images/exercises/1080_664/12.jpg,https://www.jefit.com/images/exercises/1080_664/13.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273330.sd.mp4?s=6efc4741b1382dcac67ef9275db2760aa68df3bc&profile_id=165&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Barbell,Beginner
38,Barbell Bicep Drag Curl,https://www.jefit.com/exercises/364/Barbell-Bicep-Drag-Curl,https://www.jefit.com/images/exercises/1080_664/1456.jpg,https://www.jefit.com/images/exercises/1080_664/1457.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160281014.sd.mp4?s=6977570d68892f7861c6d4fdbd7b2272fd5ff231&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Compound,"Barbell , EZ Curl Bar",Intermediate
39,Barbell Bradford Rocky Press,https://www.jefit.com/exercises/401/Barbell-Bradford-Rocky-Press,https://www.jefit.com/images/exercises/1080_664/1604.jpg,https://www.jefit.com/images/exercises/1080_664/1605.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281044.sd.mp4?s=dadc2d0dc74d143db94f22bb27271669d05f66b0&profile_id=164&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Barbell,Intermediate
40,Barbell Bulgarian Split Squat,https://www.jefit.com/exercises/205/Barbell-Bulgarian-Split-Squat,https://www.jefit.com/images/exercises/1080_664/820.jpg,https://www.jefit.com/images/exercises/1080_664/821.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273819.hd.mp4?s=5f004fecf5d50166a79669145f7d7269756716e7&profile_id=119&oauth2_token_id=435967617,Upper Legs,Calves,Strength,Compound,Barbell,Intermediate
41,Barbell Clean,https://www.jefit.com/exercises/469/Barbell-Clean,https://www.jefit.com/images/exercises/1080_664/1876.jpg,https://www.jefit.com/images/exercises/1080_664/1877.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296144.hd.mp4?s=aee13326b29359512898c4318cbe129d02224e75&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Expert
42,Barbell Clean and Jerk,https://www.jefit.com/exercises/404/Barbell-Clean-and-Jerk,https://www.jefit.com/images/exercises/1080_664/1616.jpg,https://www.jefit.com/images/exercises/1080_664/1617.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281122.sd.mp4?s=d15d532eff716bd126bdeac088a74ab31d9804cd&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Olympic Weight Lifting,Compound,Barbell,Expert
43,Barbell Clean Deadlift,https://www.jefit.com/exercises/470/Barbell-Clean-Deadlift,https://www.jefit.com/images/exercises/1080_664/1880.jpg,https://www.jefit.com/images/exercises/1080_664/1881.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160296135.hd.mp4?s=9c3dfef0dca10930d4ce1d5a43f0a5ee86c7012c&profile_id=113&oauth2_token_id=435967617,Back,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Intermediate
44,Barbell Clean From Blocks,https://www.jefit.com/exercises/471/Barbell-Clean-From-Blocks,https://www.jefit.com/images/exercises/1080_664/1884.jpg,https://www.jefit.com/images/exercises/1080_664/1885.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296176.hd.mp4?s=dbb2d5c59014971c25fa7323e12110bd9c29c15c&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Expert
45,Barbell Clean Pull,https://www.jefit.com/exercises/472/Barbell-Clean-Pull,https://www.jefit.com/images/exercises/1080_664/1888.jpg,https://www.jefit.com/images/exercises/1080_664/1889.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296192.sd.mp4?s=4fe0eb56fd135e769a85309100602897c9280728&profile_id=164&oauth2_token_id=435967617,Upper Legs,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Intermediate
46,Barbell Close Grip Bench Press,https://www.jefit.com/exercises/4/Barbell-Close-Grip-Bench-Press,https://www.jefit.com/images/exercises/1080_664/16.jpg,https://www.jefit.com/images/exercises/1080_664/17.jpg,https://www.jefit.com/images/exercises/b7.jpg,,Triceps,Outer Chest,Strength,Compound,Barbell,Beginner
47,Barbell Close Grip Concentration  Curl,https://www.jefit.com/exercises/365/Barbell-Close-Grip-Concentration--Curl,https://www.jefit.com/images/exercises/1080_664/1460.jpg,https://www.jefit.com/images/exercises/1080_664/1461.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160281140.hd.mp4?s=28998bfd08362b9e253d0c9d1600a586009eadb8&profile_id=119&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Intermediate
48,Barbell Close Grip Curl,https://www.jefit.com/exercises/99/Barbell-Close-Grip-Curl,https://www.jefit.com/images/exercises/1080_664/396.jpg,https://www.jefit.com/images/exercises/1080_664/397.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273651.sd.mp4?s=7429bf5de1242b5fa2773d78add5ec4ac89cbbd2&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Beginner
49,Barbell Close Grip Press,https://www.jefit.com/exercises/1165/Barbell-Close-Grip-Press,https://www.jefit.com/images/exercises/1080_664/4660.jpg,https://www.jefit.com/images/exercises/1080_664/4661.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307178.sd.mp4?s=faf1af101cf489e726fa487b057c1e8a204b3fb2&profile_id=165&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Barbell,Intermediate
50,Barbell Concentration Curl,https://www.jefit.com/exercises/1012/Barbell-Concentration-Curl,https://www.jefit.com/images/exercises/1080_664/4048.jpg,https://www.jefit.com/images/exercises/1080_664/4049.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306946.sd.mp4?s=0a877d2b2c1771812dc58fe28370321fec087c13&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Beginner
51,Barbell Curl,https://www.jefit.com/exercises/112/Barbell-Curl,https://www.jefit.com/images/exercises/1080_664/448.jpg,https://www.jefit.com/images/exercises/1080_664/449.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273685.hd.mp4?s=fccde8c25e1e3343d0a268aa845244eb10b09fcd&profile_id=119&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Beginner
52,Barbell Curl Against an Incline,https://www.jefit.com/exercises/97/Barbell-Curl-Against-an-Incline,https://www.jefit.com/images/exercises/1080_664/388.jpg,https://www.jefit.com/images/exercises/1080_664/389.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273644.hd.mp4?s=5c6fde5b5cae9c33534c46af7cffa57c67eaa6b1&profile_id=113&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Beginner
53,Barbell Deadlift,https://www.jefit.com/exercises/93/Barbell-Deadlift,https://www.jefit.com/images/exercises/1080_664/372.jpg,https://www.jefit.com/images/exercises/1080_664/373.jpg,https://www.jefit.com/images/exercises/b1.jpg,,Back,Upper Back,Strength,Compound,Barbell,Intermediate
54,Barbell Decline Bench Lunge,https://www.jefit.com/exercises/1218/Barbell-Decline-Bench-Lunge,https://www.jefit.com/images/exercises/1080_664/4872.jpg,https://www.jefit.com/images/exercises/1080_664/4873.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307252.sd.mp4?s=f51cee24b9463d2d99f6694d248240e48ad5faca&profile_id=165&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Barbell,Beginner
55,Barbell Decline Bench Press,https://www.jefit.com/exercises/5/Barbell-Decline-Bench-Press,https://www.jefit.com/images/exercises/1080_664/20.jpg,https://www.jefit.com/images/exercises/1080_664/21.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273321.hd.mp4?s=43decc4f7d3f4921e5f438d2affbd45f283b417c&profile_id=119&oauth2_token_id=435967617,Chest,Lower Chest,Strength,Compound,Barbell,Beginner
56,Barbell Decline Pullover,https://www.jefit.com/exercises/1327/Barbell-Decline-Pullover,https://www.jefit.com/images/exercises/1080_664/5308.jpg,https://www.jefit.com/images/exercises/1080_664/5309.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307415.hd.mp4?s=cdaf6b858916614e46a5b4d1b4862b37c0a70581&profile_id=119&oauth2_token_id=435967617,Chest,,Strength,Compound,Barbell,Intermediate
57,Barbell Deep Squat,https://www.jefit.com/exercises/467/Barbell-Deep-Squat,https://www.jefit.com/images/exercises/1080_664/1868.jpg,https://www.jefit.com/images/exercises/1080_664/1869.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296157.sd.mp4?s=c3a344fa55949a1a63482c0a1cbecadc94427032&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Barbell,Intermediate
58,Barbell Deep Squat,https://www.jefit.com/exercises/913/Barbell-Deep-Squat,https://www.jefit.com/images/exercises/1080_664/3652.jpg,https://www.jefit.com/images/exercises/1080_664/3653.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306297.hd.mp4?s=083de6bf0c3ff0b8c7fd609976942c07b2122622&profile_id=119&oauth2_token_id=435967617,Upper Legs,,Olympic Weight Lifting,Compound,Barbell,Intermediate
59,Barbell Deep Squat,https://www.jefit.com/exercises/1223/Barbell-Deep-Squat,https://www.jefit.com/images/exercises/1080_664/4892.jpg,https://www.jefit.com/images/exercises/1080_664/4893.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307278.hd.mp4?s=b9ccb4556d4840312cecbc7b12aa0ec7422bc3d8&profile_id=113&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Barbell,Intermediate
60,Barbell Drag Curl,https://www.jefit.com/exercises/254/Barbell-Drag-Curl,https://www.jefit.com/images/exercises/1080_664/1016.jpg,https://www.jefit.com/images/exercises/1080_664/1017.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280322.sd.mp4?s=d6b054758982168807900d5e786ed39af40ad48b&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Compound,Barbell,Intermediate
61,Barbell Floor Calf Raise,https://www.jefit.com/exercises/1230/Barbell-Floor-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/4920.jpg,https://www.jefit.com/images/exercises/1080_664/4921.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160307291.hd.mp4?s=f76d148c9b971f42e0b49f926a2fe12b2d18b9e5&profile_id=113&oauth2_token_id=435967617,Lower Legs,,Strength,Isolation,Barbell,Beginner
